Quesh,Quesh Date,Total Respo,Avg Rating,Cluster
What are the best type of M&M's?,10/13/2021,16,3.94,2
What area of your life should you pay more attention to?,10/12/2021,12,3.92,2
What was the most memorable vacation you’ve ever been on?,10/11/2021,11,4.09,2
What is something that positively affects your mental health?,10/10/2021,9,4.78,2
"If you could only listen to one singer or band for the rest of your life, who would you choose?",10/9/2021,5,4.4,3
"If you had the world’s attention for 30 seconds, what would you say?",10/8/2021,8,4.38,3
What has been the best decision you've ever made?,10/7/2021,11,4,2
What weird food combination do you enjoy most?,10/6/2021,14,3.86,2
Who has been your best teacher and why?,10/5/2021,18,4.5,2
Homemade Tacos or Restaurant Tacos?,10/4/2021,10,4.6,1
Which movie is the most quotable?,10/3/2021,8,4.75,2
