Quesh,Quesh Date,Respo Rating,charcount
What are three must-haves in your dream home?,2021-11-16,4.333333333333333,89.86666666666666
What is the best fall pie?,2021-11-17,4.142857142857143,33.57142857142857
What was the last thing that made you feel good?,2021-11-18,4.545454545454546,84.54545454545455
What is your favorite song by Adele?,2021-11-19,4.3076923076923075,54.0
"Which do you enjoy more, waking up early or staying up late?",2021-11-20,4.0,88.4
What is the best Thanksgiving side?,2021-11-21,3.823529411764706,55.35294117647059
"So far, what has been the best month of the year?",2021-11-22,3.75,65.3125
"If you could invite one celebrity to your Thanksgiving this year, who would you choose?",2021-11-23,4.294117647058823,62.0
What do you want for dinner tonight?,2021-11-24,3.7142857142857144,56.61904761904762
What is something specific to this year that you are grateful for?,2021-11-25,3.75,54.0625
"On a scale from 1 to 10, how much do you enjoy shopping?",2021-11-26,3.3529411764705883,51.05882352941177
November or December?,2021-11-27,3.6,54.333333333333336
What is something you learned this week?,2021-11-28,3.9166666666666665,97.08333333333333
What is something you want that money can't buy?,2021-11-29,3.789473684210526,81.26315789473684
What was the best thing that happened this month?,2021-11-30,3.9285714285714284,98.07142857142857
What is something you want to accomplish this month?,2021-12-01,3.4285714285714284,78.57142857142857
You're invited to a cookie swap! What type of cookies are you bringing?,2021-12-02,3.53125,38.53125
What song have you listened to most this year?,2021-12-03,3.88,32.44
"What do you want more, a quiet night in or a wild night out?",2021-12-04,3.5416666666666665,45.708333333333336
Who is someone you look up to?,2021-12-05,3.642857142857143,65.5
What was the last concert you went to?,2021-12-06,3.65,63.9
What was your first job?,2021-12-07,4.4375,78.125
Would you rather move every year or live in the same town forever?,2021-12-08,3.625,68.16666666666667
"If you were to give away one product to everyone, which would you choose?",2021-12-09,3.9166666666666665,111.58333333333333
What is the best holiday movie?,2021-12-10,4.0,57.26315789473684
What is the most useful app?,2021-12-11,3.8,92.6
What title would you give this chapter of your life?,2021-12-12,4.166666666666667,25.5
What is the best and worst ice cream flavor?,2021-12-13,3.8421052631578947,78.26315789473684
"If you led your own country, what would be your top three rules?",2021-12-14,4.461538461538462,100.23076923076923
You've been gifted a free trip for 2022. Where are you going?,2021-12-15,4.117647058823529,41.1764705882353
There's 15 days of the year left. What is something you want to do?,2021-12-16,3.9473684210526314,45.05263157894737
What holiday song would you rate number one?,2021-12-17,3.3,36.95
What was the best memory you made this autumn?,2021-12-18,4.0,55.53333333333333
Ice Skating or Sledding?,2021-12-19,4.0,31.333333333333332
"If you were designing your dream office, what would be three must-haves?",2021-12-20,3.9166666666666665,74.79166666666667
What is the best part about winter?,2021-12-21,4.153846153846154,78.23076923076923
The category is Person of the Year. Who are you nominating?,2021-12-22,3.7857142857142856,98.85714285714286
What is something on your bucket list?,2021-12-23,4.15,48.55
Sugar Cookies or Chocolate Chip?,2021-12-24,4.0,33.84
What matters most?,2021-12-25,4.0,31.68421052631579
"If you could ask 2022 one question, what would you ask?",2021-12-26,4.3,36.35
What 2021 accomplishment are you most proud of?,2021-12-27,4.25,118.6842105263158
What's the biggest lesson you learned this year?,2021-12-28,4.333333333333333,64.33333333333333
Which day of this year do you wish you could relive?,2021-12-29,4.235294117647059,95.6470588235294
What has been the biggest surprise of 2021?,2021-12-30,3.9411764705882355,85.29411764705883
What do you need to leave behind this year?,2021-12-31,4.352941176470588,56.0
What promise do you want to make yourself this year?,2022-01-01,3.75,47.8125
Who’s the most famous person you’ve ever met?,2022-01-02,4.0625,59.75
Which song(s) sum up your life?,2022-01-03,4.230769230769231,77.46153846153847
Which ad jingle comes to mind first?,2022-01-04,3.5714285714285716,26.80952380952381
What’s your favorite food combo?,2022-01-05,3.533333333333333,55.0
"If you had to win a game to save your life, which would you play?",2022-01-06,3.6666666666666665,31.944444444444443
Which one condiment could you not live without?,2022-01-07,3.772727272727273,44.09090909090909
What would you like younger generations to know?,2022-01-08,4.076923076923077,93.92307692307692
What have you learned about love?,2022-01-09,4.533333333333333,126.13333333333334
"If a sandwich was named after you, what would be on it?",2022-01-10,4.1875,123.6875
"On a scale from 1 to 10, how is 2022 going so far?",2022-01-11,3.869565217391304,48.91304347826087
What's something you're learning about?,2022-01-12,3.9583333333333335,60.875
How easily do you fall in love?,2022-01-13,3.909090909090909,59.68181818181818
What is the best quality of a friend?,2022-01-14,4.136363636363637,52.81818181818182
How did you start your day today?,2022-01-15,4.0,70.63636363636364
What's something random you know a lot about?,2022-01-16,4.117647058823529,42.94117647058823
"In your dream world, what issue(s) would be resolved?",2022-01-17,3.9047619047619047,121.71428571428571
What are your three most used emojis?,2022-01-18,3.736842105263158,11.578947368421053
What's something you've done that you'll never do again?,2022-01-19,3.8947368421052633,57.8421052631579
When and where was your last flight?,2022-01-20,3.9444444444444446,53.0
"If you were a dog, which breed would you want to be?",2022-01-21,4.125,50.0
What was the best hotel experience you've had?,2022-01-22,3.8333333333333335,152.27777777777777
What stereotype about your astrological sign is true for you?,2022-01-23,4.066666666666666,85.6
"As a child, what was your dream job?",2022-01-24,3.9444444444444446,80.11111111111111
"Which is a greater challenge for you, nutrition or exercise?",2022-01-25,4.333333333333333,139.0
Would you rather hire a housekeeper or a personal chef?,2022-01-26,3.9411764705882355,71.0
What’s a delicious and healthy snack?,2022-01-27,4.25,50.35
Which celebrity would you want as a best friend?,2022-01-28,4.470588235294118,53.94117647058823
Blue Cheese or Ranch?,2022-01-29,3.789473684210526,33.0
Which skin care products do you use?,2022-01-30,3.588235294117647,97.76470588235294
What has been the best part of this month?,2022-01-31,4.176470588235294,78.88235294117646
What game do you love to play?,2022-02-01,4.176470588235294,63.705882352941174
What movie do you love to watch over and over?,2022-02-02,4.333333333333333,92.28571428571429
What do you love that most people don't?,2022-02-03,4.25,53.45
What candy do you love?,2022-02-04,4.217391304347826,60.52173913043478
What do you love to do for yourself?,2022-02-05,4.333333333333333,93.61111111111111
What compliment do you love hearing?,2022-02-06,4.266666666666667,103.0
Who is someone funny you love?,2022-02-07,3.9411764705882355,53.94117647058823
What would you love to do this year?,2022-02-08,3.696969696969697,77.06060606060606
What kind of pizza do you love?,2022-02-09,3.793103448275862,93.48275862068965
What place would you love to travel to right now?,2022-02-10,4.142857142857143,43.857142857142854
What do you love about yourself?,2022-02-11,4.454545454545454,108.45454545454545
What do you love to do for others?,2022-02-12,4.136363636363637,111.0909090909091
What Super Bowl commercial do you love?,2022-02-13,3.7222222222222223,60.888888888888886
Who do you love?,2022-02-14,4.125,75.20833333333333
"What African-American artist, inventor or hero do you admire?",2022-02-15,3.8636363636363638,76.22727272727273
Crunchy Peanut Butter or Smooth?,2022-02-16,4.0,40.52
What is something that comes naturally to you?,2022-02-17,4.105263157894737,98.57894736842105
What form of art fascinates you most?,2022-02-18,4.260869565217392,102.0
What was your favorite food growing up and what is it now?,2022-02-19,4.1875,93.4375
What is something that you've learned to accept?,2022-02-20,3.782608695652174,113.8695652173913
