,Quesh,Quesh_Date,Avg Rating,Total Respo,Type
85,What is something you learned this week?,11/28/2021,3.92,12,2
86,November or December?,11/27/2021,3.60,15,1
87,"On a scale from 1 to 10, how much do you enjoy shopping?",11/26/2021,3.35,17,4
88,What is something specific to this year that you are grateful for?,11/25/2021,3.75,16,2
89,What do you want for dinner tonight?,11/24/2021,3.71,21,2
90,"If you could invite one celebrity to your Thanksgiving this year, who would you choose?",11/23/2021,4.29,17,3
91,"So far, what has been the best month of the year?",11/22/2021,3.75,16,2
92,What is the best Thanksgiving side?,11/21/2021,3.82,17,2
93,"Which do you enjoy more, waking up early or staying up late?",11/20/2021,4.00,15,2
94,What is your favorite song by Adele?,11/19/2021,4.31,13,2
95,What was the last thing that made you feel good?,11/18/2021,4.55,11,2
96,What is the best fall pie?,11/17/2021,4.14,14,2
97,What are three must-haves in your dream home?,11/16/2021,4.33,15,2
98,What company inspires you most?,11/15/2021,4.50,6,2
99,How has November been for you so far?,11/14/2021,4.33,9,2
100,Who is the kindest person you know?,11/13/2021,4.71,7,2
101,What was your most memorable birthday?,11/12/2021,4.30,10,2
102,"If you could call yourself at 15 years old for a brief conversation, what would you tell yourself?",11/11/2021,4.10,10,3
103,Cake or Pie?,11/10/2021,4.08,12,1
104,"At the moment, do you tend to save more or spend?",11/9/2021,3.77,13,2
105,"If you could know the truth behind any one secret or mystery, what would it be?",11/8/2021,3.90,10,3
106,What do you wish you had more time to do?,11/7/2021,4.08,12,2
107,What fictional character do you most relate to?,11/6/2021,4.33,9,2
108,"In one song, how would you describe this week?",11/5/2021,4.55,11,2
109,"If you had the power to make one thing on Earth permanently free, what would it be?",11/4/2021,4.83,12,3
110,Would you rather eat every meal out or every meal at home?,11/3/2021,4.54,13,2
111,What was the best thing that happened last month?,11/2/2021,4.11,9,2
112,What is your goal for this month?,11/1/2021,4.25,12,2
113,What is the best and worst candy to receive on Halloween?,10/31/2021,4.45,11,2
114,What’s the scariest movie you’ve seen?,10/30/2021,4.29,14,2
115,What is your favorite website?,10/29/2021,3.33,9,2
116,What's your superpower?,10/28/2021,4.29,14,2
117,What is something you want to do before the end of the year?,10/27/2021,4.43,14,2
118,October or November?,10/26/2021,3.55,20,1
119,What was the highlight of your weekend?,10/25/2021,3.93,14,2
120,"What is a food you didn't like to eat as a child, but love to eat as an adult?",10/24/2021,4.23,13,2
121,"If you had your own talk show, who would be your first guest and what would you want to talk about?",10/23/2021,4.50,8,3
122,What would be the best Halloween costume for this year?,10/22/2021,4.07,14,2
123,"If you could be a professional athlete in any one sport, which would you choose?",10/21/2021,4.17,12,2
124,What memory will always make you laugh?,10/20/2021,4.44,9,2
125,What song(s) can’t you help but sing along to?,10/19/2021,4.91,11,2
126,What's your favorite thing about your hometown?,10/18/2021,3.78,9,2
127,What has been the highlight of your week?,10/17/2021,4.38,13,2
128,What is the most attractive trait?,10/16/2021,4.36,11,2
129,"On a scale from 1 to 10, how healthy do you feel?",10/15/2021,4.27,11,4
130,"If you had the chance to meet your future self, what would you ask first?",10/14/2021,4.09,11,3
131,What are the best type of M&M's?,10/13/2021,3.94,16,2
132,What area of your life should you pay more attention to?,10/12/2021,3.92,12,2
133,What was the most memorable vacation you’ve ever been on?,10/11/2021,4.09,11,2
134,What is something that positively affects your mental health?,10/10/2021,4.78,9,2
135,"If you could only listen to one singer or band for the rest of your life, who would you choose?",10/9/2021,4.40,5,3
136,"If you had the world’s attention for 30 seconds, what would you say?",10/8/2021,4.38,8,3
137,What has been the best decision you've ever made?,10/7/2021,4.00,11,2
138,What weird food combination do you enjoy most?,10/6/2021,3.86,14,2
139,Who has been your best teacher and why?,10/5/2021,4.50,18,2
140,Homemade Tacos or Restaurant Tacos?,10/4/2021,4.60,10,1
141,Which movie is the most quotable?,10/3/2021,4.75,8,2
142,What do you wish you spent more time doing five years ago?,10/2/2021,5.00,5,2
143,What vegetable do you enjoy eating most?,10/1/2021,5.00,5,2
144,"If you were to create a podcast, what would it be about?",9/30/2021,4.75,8,3
145,What is your favorite morning beverage?,9/29/2021,4.88,8,2
146,How would your friends describe you?,9/28/2021,4.33,9,4
147,How would you describe your friends?,9/27/2021,4.80,5,4
148,What is something you wish a smartphone could do?,9/26/2021,4.14,7,2
149,What piece of advice have you found most helpful?,9/25/2021,4.80,5,2
150,How do you want to spend the weekend?,9/24/2021,4.42,12,2
151,"On a scale from 1 to 10, how productive have you been lately?",9/23/2021,4.00,13,4
152,Which fall activity do you adore most?,9/22/2021,4.64,11,2
153,Where is somewhere you want to go next summer?,9/21/2021,4.64,14,2
154,What is something you could never get enough of?,9/20/2021,4.63,8,2
155,"Do you sleep on your back, side or belly?",9/19/2021,4.20,5,1
