Quesh,Quesh Date,Avg Rating,Total Respo,Type,sent_ans,sent_quesh,charcount
What's something you've done that you'll never do again?,2022-01-19,3.89,19,2,0.4210526315789473,0.0,57.8421052631579
What are your three most used emojis?,2022-01-18,3.74,19,2,0.4736842105263157,0.0,11.578947368421051
"In your dream world, what issue(s) would be resolved?",2022-01-17,3.9,21,2,0.9523809523809524,3.0,121.71428571428572
What's something random you know a lot about?,2022-01-16,4.12,17,2,0.8823529411764706,0.0,42.94117647058823
How did you start your day today?,2022-01-15,4.0,22,4,1.181818181818182,0.0,70.63636363636364
What is the best quality of a friend?,2022-01-14,4.14,22,2,4.136363636363637,6.0,52.81818181818182
How easily do you fall in love?,2022-01-13,3.91,22,4,2.227272727272727,3.0,59.68181818181818
"On a scale from 1 to 10, how is 2022 going so far?",2022-01-11,3.96,24,4,1.5416666666666667,0.0,60.875
What's something you're learning about?,2022-01-12,3.87,23,2,1.434782608695652,0.0,48.91304347826087
"If a sandwich was named after you, what would be on it?",2022-01-10,4.19,16,3,1.5625,0.0,123.6875
What have you learned about love?,2022-01-09,4.53,15,2,5.533333333333333,3.0,126.13333333333334
What would you like younger generations to know?,2022-01-08,4.08,13,2,1.6153846153846154,2.0,93.92307692307692
Which one condiment could you not live without?,2022-01-07,3.77,22,2,0.7272727272727273,0.0,44.09090909090909
"If you had to win a game to save your life, which would you play?",2022-01-06,3.67,18,3,0.7222222222222222,6.0,31.944444444444443
What’s your favorite food combo?,2022-01-05,3.53,15,2,0.8666666666666667,2.0,55.0
Which ad jingle comes to mind first?,2022-01-04,3.57,21,2,1.4761904761904765,0.0,26.80952380952381
Which song(s) sum up your life?,2022-01-03,4.23,13,2,0.4615384615384615,0.0,77.46153846153847
Who’s the most famous person you’ve ever met?,2022-01-02,4.06,16,2,1.1875,2.0,59.75
What promise do you want to make yourself this year?,2022-01-01,3.75,16,2,1.75,2.0,47.8125
What do you need to leave behind this year?,2021-12-31,4.35,17,2,-1.0588235294117647,-1.0,56.0
What has been the biggest surprise of 2021?,2021-12-30,3.94,17,2,0.5882352941176471,0.0,85.29411764705883
Which day of this year do you wish you could relive?,2021-12-29,4.24,17,2,2.0588235294117645,1.0,95.6470588235294
What's the biggest lesson you learned this year?,2021-12-28,4.33,15,2,1.6,0.0,64.33333333333333
What 2021 accomplishment are you most proud of?,2021-12-27,4.25,20,2,2.5,4.0,118.6842105263158
"If you could ask 2022 one question, what would you ask?",2021-12-26,4.3,20,3,0.6,0.0,36.35
What matters most?,2021-12-25,4.0,19,2,3.473684210526316,1.0,31.68421052631579
Sugar Cookies or Chocolate Chip?,2021-12-24,4.0,25,1,0.04,0.0,33.84
What is something on your bucket list?,2021-12-23,4.15,20,2,0.55,0.0,48.55
The category is Person of the Year. Who are you nominating?,2021-12-22,3.79,14,2,1.6428571428571428,0.0,98.85714285714286
What is the best part about winter?,2021-12-21,4.15,26,2,1.1153846153846154,3.0,78.23076923076923
"If you were designing your dream office, what would be three must-haves?",2021-12-20,3.92,24,3,2.0,1.0,74.79166666666667
Ice Skating or Sledding?,2021-12-19,4.0,18,1,0.0555555555555555,0.0,31.33333333333333
What was the best memory you made this autumn?,2021-12-18,4.0,15,2,1.9333333333333331,3.0,55.53333333333333
What holiday song would you rate number one?,2021-12-17,3.3,20,2,0.1,0.0,36.95
There's 15 days of the year left. What is something you want to do?,2021-12-16,3.95,19,2,1.4210526315789471,1.0,45.05263157894737
You've been gifted a free trip for 2022. Where are you going?,2021-12-15,4.12,17,3,0.8235294117647058,1.0,41.1764705882353
"If you led your own country, what would be your top three rules?",2021-12-14,4.46,13,3,3.3076923076923075,2.0,100.23076923076924
What is the best and worst ice cream flavor?,2021-12-13,3.84,19,2,0.8947368421052632,0.0,78.26315789473684
What title would you give this chapter of your life?,2021-12-12,4.17,18,2,0.2777777777777778,0.0,25.5
What is the most useful app?,2021-12-11,3.8,15,2,3.0,2.0,92.6
What is the best holiday movie?,2021-12-10,4.0,19,2,1.631578947368421,3.0,57.26315789473684
"If you were to give away one product to everyone, which would you choose?",2021-12-09,3.92,12,3,3.333333333333333,0.0,111.58333333333331
Would you rather move every year or live in the same town forever?,2021-12-08,3.63,24,2,0.875,0.0,68.16666666666667
What was your first job?,2021-12-07,4.44,16,2,-0.0625,0.0,78.125
What was the last concert you went to?,2021-12-06,3.65,20,2,2.0,0.0,63.9
Who is someone you look up to?,2021-12-05,3.64,14,2,1.2857142857142858,0.0,65.5
"What do you want more, a quiet night in or a wild night out?",2021-12-04,3.54,24,2,0.9166666666666666,1.0,45.708333333333336
What song have you listened to most this year?,2021-12-03,3.88,25,2,-0.2,0.0,32.44
You're invited to a cookie swap! What type of cookies are you bringing?,2021-12-02,3.53,32,2,0.625,0.0,38.53125
What is something you want to accomplish this month?,2021-12-01,3.43,21,2,3.095238095238096,3.0,78.57142857142857
What was the best thing that happened this month?,2021-11-30,3.93,14,2,2.5,3.0,98.07142857142856
What is something you want that money can't buy?,2021-11-29,3.79,19,2,3.5789473684210527,1.0,81.26315789473684
What is something you learned this week?,2021-11-28,3.92,12,2,2.583333333333333,0.0,97.08333333333331
November or December?,2021-11-27,3.6,15,1,0.8666666666666667,0.0,54.333333333333336
"On a scale from 1 to 10, how much do you enjoy shopping?",2021-11-26,3.35,17,4,1.1764705882352942,2.0,51.05882352941177
What is something specific to this year that you are grateful for?,2021-11-25,3.75,16,2,2.0,3.0,54.0625
What do you want for dinner tonight?,2021-11-24,3.71,21,2,1.2857142857142858,1.0,56.61904761904762
"If you could invite one celebrity to your Thanksgiving this year, who would you choose?",2021-11-23,4.29,17,3,1.1764705882352942,1.0,62.0
"So far, what has been the best month of the year?",2021-11-22,3.75,16,2,0.875,3.0,65.3125
What is the best Thanksgiving side?,2021-11-21,3.82,17,2,1.6470588235294117,3.0,55.35294117647059
"Which do you enjoy more, waking up early or staying up late?",2021-11-20,4.0,15,2,1.8666666666666667,2.0,88.4
What is your favorite song by Adele?,2021-11-19,4.31,13,2,2.769230769230769,2.0,54.0
What was the last thing that made you feel good?,2021-11-18,4.55,11,2,2.090909090909091,3.0,84.54545454545455
What is the best fall pie?,2021-11-17,4.14,14,2,1.2142857142857142,3.0,33.57142857142857
What are three must-haves in your dream home?,2021-11-16,4.33,15,2,2.066666666666667,1.0,89.86666666666666
What company inspires you most?,2021-11-15,4.5,6,2,6.0,2.0,140.33333333333334
How has November been for you so far?,2021-11-14,4.33,9,2,5.111111111111111,0.0,56.44444444444444
Who is the kindest person you know?,2021-11-13,4.71,7,2,2.571428571428572,0.0,81.42857142857143
What was your most memorable birthday?,2021-11-12,4.3,10,2,3.5,1.0,151.9
"If you could call yourself at 15 years old for a brief conversation, what would you tell yourself?",2021-11-11,4.1,10,3,4.2,0.0,71.4
Cake or Pie?,2021-11-10,4.08,12,1,1.25,0.0,39.833333333333336
"At the moment, do you tend to save more or spend?",2021-11-09,3.77,13,2,0.0,2.0,73.61538461538461
"If you could know the truth behind any one secret or mystery, what would it be?",2021-11-08,3.9,10,3,-0.2,0.0,63.8
What do you wish you had more time to do?,2021-11-07,4.08,12,2,1.9166666666666667,1.0,51.083333333333336
What fictional character do you most relate to?,2021-11-06,4.33,9,2,1.2222222222222223,0.0,81.0
"In one song, how would you describe this week?",2021-11-05,4.55,11,2,0.9090909090909092,0.0,33.81818181818182
"If you had the power to make one thing on Earth permanently free, what would it be?",2021-11-04,4.83,12,3,0.0833333333333333,1.0,78.91666666666667
Would you rather eat every meal out or every meal at home?,2021-11-03,4.54,13,2,2.1538461538461537,0.0,63.61538461538461
What was the best thing that happened last month?,2021-11-02,4.11,9,2,3.888888888888889,3.0,80.88888888888889
What is your goal for this month?,2021-11-01,4.25,12,2,1.0833333333333333,0.0,63.25
What is the best and worst candy to receive on Halloween?,2021-10-31,4.45,11,2,0.8181818181818182,0.0,42.18181818181818
What’s the scariest movie you’ve seen?,2021-10-30,4.29,14,2,-0.5,0.0,54.35714285714285
What is your favorite website?,2021-10-29,3.33,9,2,2.2222222222222223,2.0,76.11111111111111
What's your superpower?,2021-10-28,4.29,14,2,2.7857142857142856,0.0,70.07142857142857
What is something you want to do before the end of the year?,2021-10-27,4.43,14,2,1.5,1.0,43.85714285714285
October or November?,2021-10-26,3.55,20,1,1.25,0.0,44.15
What was the highlight of your weekend?,2021-10-25,3.93,14,2,4.214285714285714,2.0,70.28571428571429
"What is a food you didn't like to eat as a child, but love to eat as an adult?",2021-10-24,4.23,13,2,1.5384615384615383,5.0,49.46153846153846
"If you had your own talk show, who would be your first guest and what would you want to talk about?",2021-10-23,4.5,8,3,3.5,1.0,89.125
What would be the best Halloween costume for this year?,2021-10-22,4.07,14,2,0.5714285714285714,3.0,44.285714285714285
"If you could be a professional athlete in any one sport, which would you choose?",2021-10-21,4.17,12,2,1.3333333333333333,0.0,34.916666666666664
What memory will always make you laugh?,2021-10-20,4.44,9,2,1.0,1.0,107.11111111111111
What song(s) can’t you help but sing along to?,2021-10-19,4.91,11,2,0.9090909090909092,2.0,82.63636363636364
What's your favorite thing about your hometown?,2021-10-18,3.78,9,2,0.6666666666666666,2.0,43.66666666666666
What has been the highlight of your week?,2021-10-17,4.38,13,2,4.384615384615385,2.0,72.76923076923077
What is the most attractive trait?,2021-10-16,4.36,11,2,2.090909090909091,2.0,39.09090909090909
"On a scale from 1 to 10, how healthy do you feel?",2021-10-15,4.27,11,4,2.1818181818181817,2.0,52.72727272727273
"If you had the chance to meet your future self, what would you ask first?",2021-10-14,4.09,11,3,2.090909090909091,2.0,34.18181818181818
What are the best type of M&M's?,2021-10-13,3.94,16,2,0.5625,3.0,18.9375
What area of your life should you pay more attention to?,2021-10-12,3.92,12,2,2.0,-1.0,66.41666666666667
What was the most memorable vacation you’ve ever been on?,2021-10-11,4.09,11,2,1.6363636363636365,1.0,89.63636363636364
What is something that positively affects your mental health?,2021-10-10,4.78,9,2,0.8888888888888888,2.0,46.333333333333336
"If you could only listen to one singer or band for the rest of your life, who would you choose?",2021-10-09,4.4,5,3,1.6,0.0,52.2
"If you had the world’s attention for 30 seconds, what would you say?",2021-10-08,4.38,8,3,3.875,0.0,129.25
What has been the best decision you've ever made?,2021-10-07,4.0,11,2,1.6363636363636365,3.0,108.54545454545456
What weird food combination do you enjoy most?,2021-10-06,3.86,14,2,1.2857142857142858,0.0,47.285714285714285
Who has been your best teacher and why?,2021-10-05,4.5,18,2,5.944444444444445,3.0,202.77777777777777
Homemade Tacos or Restaurant Tacos?,2021-10-04,4.6,10,1,0.3,0.0,38.2
Which movie is the most quotable?,2021-10-03,4.75,8,2,-0.375,0.0,46.625
What do you wish you spent more time doing five years ago?,2021-10-02,5.0,5,2,2.0,1.0,86.8
What vegetable do you enjoy eating most?,2021-10-01,5.0,5,2,0.6,2.0,25.4
"If you were to create a podcast, what would it be about?",2021-09-30,4.75,8,3,4.375,0.0,94.875
What is your favorite morning beverage?,2021-09-29,4.88,8,2,0.125,2.0,51.375
How would your friends describe you?,2021-09-28,4.33,9,4,0.3333333333333333,0.0,27.444444444444443
How would you describe your friends?,2021-09-27,4.8,5,4,7.4,0.0,46.2
What is something you wish a smartphone could do?,2021-09-26,4.14,7,2,0.5714285714285714,1.0,47.0
What piece of advice have you found most helpful?,2021-09-25,4.8,5,2,1.8,2.0,64.6
How do you want to spend the weekend?,2021-09-24,4.42,12,2,-0.0833333333333333,1.0,49.66666666666666
"On a scale from 1 to 10, how productive have you been lately?",2021-09-23,4.0,13,4,0.4615384615384615,0.0,79.53846153846153
Which fall activity do you adore most?,2021-09-22,4.64,11,2,1.0,3.0,50.45454545454545
Where is somewhere you want to go next summer?,2021-09-21,4.64,14,2,2.4285714285714284,1.0,40.0
What is something you could never get enough of?,2021-09-20,4.63,8,2,1.875,0.0,34.25
"Do you sleep on your back, side or belly?",2021-09-19,4.2,5,1,0.0,0.0,31.4
