User Id,Quesh,Quesh Date,Respo
156,What’s your favorite food combo?,2022-01-05,"A glass of water with my meal! ?? (This is such a tough question! As a foodie its too tough to limit myself to one food combo, so this answer feels safe to me ?) "
39,What’s your favorite food combo?,2022-01-05,Burger & Fries
11,What’s your favorite food combo?,2022-01-05,Mexican food and air. 
4,What’s your favorite food combo?,2022-01-05,Cheese & crackers ??
112,Which ad jingle comes to mind first?,2022-01-04,geico!
48,Which ad jingle comes to mind first?,2022-01-04,The Oscar Meyer wiener song! 
31,Which ad jingle comes to mind first?,2022-01-04,Like a good neighborState Farm is there. 
88,Which ad jingle comes to mind first?,2022-01-04,I dont kno any ?? 
157,Which ad jingle comes to mind first?,2022-01-04,1-800 contactsbut thats because I just reordered more contacts?
51,Which ad jingle comes to mind first?,2022-01-04,"Bernie & Phyls Quality, Comfort & Price! Thats nice ? "
113,What’s your favorite food combo?,2022-01-05,Latte and cake
144,Which ad jingle comes to mind first?,2022-01-04,i dont have an idea hahaha
147,Which ad jingle comes to mind first?,2022-01-04,I want teach the works to sing the old Coca Cola commercial jingle! 
130,Which ad jingle comes to mind first?,2022-01-04,"Serena William's, Serena Williams"
14,Which ad jingle comes to mind first?,2022-01-04,Im lovin it 
5,Which ad jingle comes to mind first?,2022-01-04,Five Dollar Foot Long Subway
140,Which ad jingle comes to mind first?,2022-01-04,Cha cha chaCharmin ? lol
156,Which ad jingle comes to mind first?,2022-01-04,The best part of waking up is Folgers in your cup. 
118,Which ad jingle comes to mind first?,2022-01-04,Oh oh oh oreillysssssssss
134,Which ad jingle comes to mind first?,2022-01-04,Klondike 
22,Which ad jingle comes to mind first?,2022-01-04,the snack that smiles back GOLDFISH 
114,Which ad jingle comes to mind first?,2022-01-04,Does yo quiero Taco Bell count? ??
15,Which ad jingle comes to mind first?,2022-01-04,Liberty liberty liberty
11,Which ad jingle comes to mind first?,2022-01-04,We are Farmersbum ba dum bum bumbumbum. 
4,Which ad jingle comes to mind first?,2022-01-04,"1-800-588-2300, Empire! Today."
6,Which ad jingle comes to mind first?,2022-01-04,"Bernie and Phils quality, comfort, and price thats nice!"
6,Which song(s) sum up your life?,2022-01-03,Lol drivers license by Olivia because Im a hopeless romantic and love a good sappy love song 
5,Which song(s) sum up your life?,2022-01-03,My Way-Frank Sinatra Fly Me to The Moon-Frank Sinatra The Best Thing That Ever Happened-Gladys Knight 
157,Which song(s) sum up your life?,2022-01-03,Treat people with kindness- Harry Styles 
51,Which song(s) sum up your life?,2022-01-03,I hate that I feel like Im dodging this question.. but this is too tough. Im a music guy & theres no way I could say theres one or two or even 10 songs that sum up my life I feel like thats underselling the major stages of life & genres of music. Any playlist centered around a life should probably have as diverse of a set list as possible if its going to truly capture the range of experiences life gives us. 
14,Which song(s) sum up your life?,2022-01-03,I dont have a single clue. I also dont think theres a song that can sum up the many different chapters of life 
147,Which song(s) sum up your life?,2022-01-03,Oops I Did it Again - Britney Spears. 
118,Which song(s) sum up your life?,2022-01-03,WAP
15,Which song(s) sum up your life?,2022-01-03,Aint no mountain high enough by Marvin Gaye or steam by Leon bridges 
130,Which song(s) sum up your life?,2022-01-03,Miss Independent
22,Which song(s) sum up your life?,2022-01-03,Love 2 Hard by Emily Weisband & Tauren Wells 
156,Which song(s) sum up your life?,2022-01-03,"I am woman by Emmy Meli, the Air by Modest Mouse, Three Little Birds by Bob Marley "
4,Which song(s) sum up your life?,2022-01-03,"1) Best Thing That Ever Happened To Me by Gladys Knight & The Pips 2) Good Life by Kanye West & T-Pain 3) Baby, Baby, Baby by TLC 4) Ghetto Superstar by Pras ft Mya & Ol Dirty Bastard 5) Follow Me by Uncle Cracker 6) Three Little Birds by Bob Marley"
11,Which song(s) sum up your life?,2022-01-03,Here I Go Again on My Own
6,Who’s the most famous person you’ve ever met?,2022-01-02,Zendaya?
77,Who’s the most famous person you’ve ever met?,2022-01-02,Christina Aguilera when I work in the area here in Atlanta. 
5,Who’s the most famous person you’ve ever met?,2022-01-02,My momma! ????
14,Who’s the most famous person you’ve ever met?,2022-01-02,Idk who would be considered the most famous but Ive met a few living in New York! 
51,Who’s the most famous person you’ve ever met?,2022-01-02,Hmm. I guess thats kinda all based on perspective. Probably Ray Bourque ? Go Bruins!
75,Who’s the most famous person you’ve ever met?,2022-01-02,Senator Tom Daschle I don't get out much.
130,Who’s the most famous person you’ve ever met?,2022-01-02,"I dont think I've met anyone up close. Tyler Perry from a distance, he's famous in my book!!!!!! Down to earth, teaching lifes lessons at a time of need!!!!!!"
157,Who’s the most famous person you’ve ever met?,2022-01-02,Stan Smith??
22,Who’s the most famous person you’ve ever met?,2022-01-02,probably florida georgia line in my country music days 
9,Who’s the most famous person you’ve ever met?,2022-01-02,President George H W Bush
48,Who’s the most famous person you’ve ever met?,2022-01-02,Daniel Johns with Silverchair 
156,Who’s the most famous person you’ve ever met?,2022-01-02,"Al Jearreau, the jazz singer, sang Ka-ka-ka-Katie to me when I was like 10. Ive had other celebrity encounters but that was probably the best one. ??"
134,Who’s the most famous person you’ve ever met?,2022-01-02,Probably John Mauceri. I did work with James Earl Jones once but didnt really meet him. My husband and I also met the lead singer of Guster once. That was pretty cool. 
15,Who’s the most famous person you’ve ever met?,2022-01-02,Pedro Martinez- he was my chefs friend and he brought him by the kitchen during night service while I was making desserts 
4,Who’s the most famous person you’ve ever met?,2022-01-02,President Barack Obama
11,Who’s the most famous person you’ve ever met?,2022-01-02,"Ive seen a lot of celebrities out and about, but I think the most famous Ive ever spoken to would either be Leslie Jordan, Ed Helms or Kathleen Turner. Whos the most famous of those three? Lol"
77,What promise do you want to make yourself this year?,2022-01-01,To work out and get in shape
11,What promise do you want to make yourself this year?,2022-01-01,To get my new business off the groundtime to get back in the mix! ? 
157,What promise do you want to make yourself this year?,2022-01-01,"Be happy, be healthy, and be you!"
48,What promise do you want to make yourself this year?,2022-01-01,To not do things to please others and compromise myself in the process 
123,What promise do you want to make yourself this year?,2022-01-01,Drink more tequila. Trust me I will drink more tequila than you.?
15,What promise do you want to make yourself this year?,2022-01-01,To save money and take care of my health
5,What promise do you want to make yourself this year?,2022-01-01,Absolutely NO promises. ???
51,What promise do you want to make yourself this year?,2022-01-01,"To be present when Im with my family. Sometimes Im distracted whether Im thinking about work, sports, or just on my phone for really no reason I can do better. I just want to be there & enjoy the moments."
114,What promise do you want to make yourself this year?,2022-01-01,I will complete all projects I have started ?
22,What promise do you want to make yourself this year?,2022-01-01,"to only manifest positive things for me, for my loved ones, and for the world "
156,What promise do you want to make yourself this year?,2022-01-01,I promise to try to be more present each day. ? 
56,What promise do you want to make yourself this year?,2022-01-01,Discover who I am outside of being a mother and wife 
118,What promise do you want to make yourself this year?,2022-01-01,Profess my love to Alana through an interpretive dance performance
134,What promise do you want to make yourself this year?,2022-01-01,I cant seem to keep the promises I make myself so Im not making any for a change. 
130,What promise do you want to make yourself this year?,2022-01-01,To always be nice regardless of circumstances!!!
4,What promise do you want to make yourself this year?,2022-01-01,Peace of mind! ? #2022
77,What do you need to leave behind this year?,2021-12-31,shyness need to open up more to people and make new friends.
157,What do you need to leave behind this year?,2021-12-31,Self doubt! Ive done a lot this year and Ill continue to grow and learn
48,What do you need to leave behind this year?,2021-12-31,Bad habits 
14,What do you need to leave behind this year?,2021-12-31,A few things
134,What do you need to leave behind this year?,2021-12-31,Thinking I could have made it different than it was. 
56,What do you need to leave behind this year?,2021-12-31,Past problems don't belong in the future 
22,What do you need to leave behind this year?,2021-12-31,"dwelling on the negative! gotta feel it, accept it, and move on! "
112,What do you need to leave behind this year?,2021-12-31,Bad habits. Accept it and try to move on and improve!
4,What do you need to leave behind this year?,2021-12-31,"This one is hard but I guess anything that stands in the way of me and my goals. Cant stop, wont stop! ???"
5,What do you need to leave behind this year?,2021-12-31,COVID-19 CORONA OMICRON 
75,What do you need to leave behind this year?,2021-12-31,Anger and resentment. Resentment is taking poison hoping it will kill somebody else. 
15,What do you need to leave behind this year?,2021-12-31,My mind 
51,What do you need to leave behind this year?,2021-12-31,"Self-Destructive thinking & actions. Self-Doubt. Self indulgence. Eating/Drinking/Snacking Excessively. Resentment of others. Resentment of myself. Reacting with emotion instead of reason. With a little one becoming more & more alert, aware & developing every day under my roof - I need to be a more positive & healthy version of myself. I wont be perfect but I need to be better. "
117,What do you need to leave behind this year?,2021-12-31,Self doubt and feelings of inadequacy! 
130,What do you need to leave behind this year?,2021-12-31,"The rest of the toxic, two faced folks."
156,What do you need to leave behind this year?,2021-12-31,"I understand that this is a question of reflection, but I am working on focusing my strength on the positives ahead, not the negatives behind. ?"
39,What do you need to leave behind this year?,2021-12-31,Corona
11,What do you need to leave behind this year?,2021-12-31,Past mistakes. 
117,What has been the biggest surprise of 2021?,2021-12-30,Had to say goodbye to my students! Wasnt expecting to leave them. 
6,What has been the biggest surprise of 2021?,2021-12-30,My parents surprising me and flying to ATL! 
14,What has been the biggest surprise of 2021?,2021-12-30,How fast it went by
156,What has been the biggest surprise of 2021?,2021-12-30,Five of my closest friends getting pregnant and having babies this last year! I went from having very few mom friends to having many! 
114,What has been the biggest surprise of 2021?,2021-12-30,Discover the kindness of people after such hard times 
48,What has been the biggest surprise of 2021?,2021-12-30,That Im going to be an aunt again!
5,What has been the biggest surprise of 2021?,2021-12-30,Meeting my biological family members this Summer!
51,What has been the biggest surprise of 2021?,2021-12-30,"For me, it was being recruited to work for another company and actually feeling recognized & appreciated. Ive always been the type to keep my mouth shut & just work hard every day, believing that youll get what you put in. But I was used to that effort kinda going unrecognized at my last company. My new employer sought me out & made me an offer I really couldnt believe (or refuse). Now I make more, work less hours, have a shorter commute, and truly get a lot of respect in the work place.. to be honest, it was pretty shocking & hard to believe / get used to at first. It has been a big surprise & a big change. But man.. it sure has been validating! To all you out there working hard, keep going! "
157,What has been the biggest surprise of 2021?,2021-12-30,I received a kindle for my birthday that keeps track of my reading. I just saw today that Ive read 23 weeks in a row and 100 days straight. I never thought I would be this into reading! 
126,What has been the biggest surprise of 2021?,2021-12-30,When I got Covid and that the pandemic is still ongoing over 2 years later
75,What has been the biggest surprise of 2021?,2021-12-30,How one microsecond can change your entire life.
56,What has been the biggest surprise of 2021?,2021-12-30,A third baby ??
134,What has been the biggest surprise of 2021?,2021-12-30,That it was worse than 2020. 
15,What has been the biggest surprise of 2021?,2021-12-30,Leaving Boston for New York I never thought Id leave Boston 
4,What has been the biggest surprise of 2021?,2021-12-30,Surprises arent always fun. Finding out my cousin had stage 4 breast cancer hit me out of nowhere. Im happy to say that her recent surgery went well though and Im so proud of her resilience ??
11,What has been the biggest surprise of 2021?,2021-12-30,"Nothing surprises me anymore. Or, maybe I just cant think of anything at the moment. "
123,What has been the biggest surprise of 2021?,2021-12-30,I reached my 10 year anniversary of drinking tequila. 
123,Which day of this year do you wish you could relive?,2021-12-29,Black Friday. They had a massive sale on tequila. 
5,Which day of this year do you wish you could relive?,2021-12-29,My birthday ?
117,Which day of this year do you wish you could relive?,2021-12-29,The day I became best friends with Serena ?
6,Which day of this year do you wish you could relive?,2021-12-29,March 20th because it was my 21st and I got to spend it in hot LANTA!!!! 
126,Which day of this year do you wish you could relive?,2021-12-29,Labor Day weekend it was the first time I can remember that felt normal since before Covid! Got to see friends multiple time that weekend and enjoyed their company by a pool in the sunshine it was perfect!
14,Which day of this year do you wish you could relive?,2021-12-29,Theres been a few I wish I could relive but October 23rd stands out as being the most fun 
75,Which day of this year do you wish you could relive?,2021-12-29,The day my husband fell off the ladder. I would force him to stay home and cover him in bubble wrap ?
77,Which day of this year do you wish you could relive?,2021-12-29,To me there is no day I relive this past year as we say every year wow this year went by fast.There was so much happy times this year I just look forward to more happy moments.
157,Which day of this year do you wish you could relive?,2021-12-29,"Thats a tough question! After giving this some thought, Id have to say the day I went zip lining in Hawaii. I cant remember the exact day, but Im terrified of heights and conquered my fear that day. By the end I was even doing tricks!"
51,Which day of this year do you wish you could relive?,2021-12-29,"Maybe its recency bias.. but Ill say Christmas. It was our sons first Christmas & he was loving it. Its my favorite holiday, so sharing that time with family compounded by it being his first Christmas just made it really special ?"
134,Which day of this year do you wish you could relive?,2021-12-29,The day we climbed Mount Washington. 
114,Which day of this year do you wish you could relive?,2021-12-29,A day at the Beach in Provincetown really any of the wonderful days we spent there 
11,Which day of this year do you wish you could relive?,2021-12-29,I think lets just move on to next year and see what happens. 
4,Which day of this year do you wish you could relive?,2021-12-29,"I have to do this as A. B. C. D. E. A) Mothers Day. It was one of the best surprises weve ever pulled. B) Serenas Birthday. It was one of the best surprises weve ever pulled. C) Launch Day & Alanas Bday. For obvious reasons. ? D) My Birthday. Key West was magical ??? E) Both my Provincetown pool days w. Little & the parents in PTOWN ?? In short, I have a lot to be grateful for "
15,Which day of this year do you wish you could relive?,2021-12-29,"Anytime with my mama. Or when I first moved to New York my first weekend with my guy. We got a hotel room, went to a fine dining restaurant and wandered around New York "
67,Which day of this year do you wish you could relive?,2021-12-29,"May 31st, 2021. It was the first day my MIL met her granddaughter, my daughter. Would do anything to have the two of them in a room together again. "
1,Which day of this year do you wish you could relive?,2021-12-29,Everyday 
154,What's the biggest lesson you learned this year?,2021-12-28,I am enough . I have enough . Dayenu
156,What's the biggest lesson you learned this year?,2021-12-28,Time is precious 
5,What's the biggest lesson you learned this year?,2021-12-28,To many to mention
126,What's the biggest lesson you learned this year?,2021-12-28,To focus more on only the things I can control and my reactions to the things that I cannot
117,What's the biggest lesson you learned this year?,2021-12-28,Dont take things for granted!
22,What's the biggest lesson you learned this year?,2021-12-28,its ok to walk away and choose yourself 
75,What's the biggest lesson you learned this year?,2021-12-28,It's okay to stand up for yourself even if it hurts someone else's feelings.
51,What's the biggest lesson you learned this year?,2021-12-28,What it truly means to put someone elses needs in front of your own. And Im still learning. Parenthood is a wild thing. But you learn a new type of love & drive to take care of someone else. Its been a pretty astounding instinct to feel awaken inside of me. I just hope I can stay true to it & continue to evolve & get better
67,What's the biggest lesson you learned this year?,2021-12-28,"Life is short. Dont leave anything unsaid, say I love you often, dont take anyone for granted. Family is everything. "
130,What's the biggest lesson you learned this year?,2021-12-28,Carry on
157,What's the biggest lesson you learned this year?,2021-12-28,Saying no and better self care. Just knowing when to stop and take some time for myself. If I didnt want to do something because I knew it wouldnt be good for me mentally or emotionally I would say no. ?
134,What's the biggest lesson you learned this year?,2021-12-28,There are some things you cant control no matter how hard you work or how much you try. 
11,What's the biggest lesson you learned this year?,2021-12-28,"Humility and patience. Both were spillover lessons from last year, and I am very appreciative. "
4,What's the biggest lesson you learned this year?,2021-12-28,Patience pays. Learn how to let go. Ride the waves! ?????
6,What's the biggest lesson you learned this year?,2021-12-28,Dont mix business with pleasure.
6,What 2021 accomplishment are you most proud of?,2021-12-27,Completing my semester of college after all I went through this summer!
123,What 2021 accomplishment are you most proud of?,2021-12-27,Finding a better brand of tequila. 
67,What 2021 accomplishment are you most proud of?,2021-12-27,Not sure if it can be considered an accomplishment but bringing my daughter into this world has been the best thing about 2021. 
14,What 2021 accomplishment are you most proud of?,2021-12-27,
117,What 2021 accomplishment are you most proud of?,2021-12-27,Being healthy and not getting COVID!
5,What 2021 accomplishment are you most proud of?,2021-12-27,Did not get COVID. 
157,What 2021 accomplishment are you most proud of?,2021-12-27,"As someone who didnt like to read a few years ago and was self conscious about it from having a learning disability and being made fun of during grade school, I started reading in 2020 during quarantine and set a goal to read 40 books in 2021. Im on my 42nd book this year and very proud of myself!?"
121,What 2021 accomplishment are you most proud of?,2021-12-27,The amount of nuts Ive tried
75,What 2021 accomplishment are you most proud of?,2021-12-27,"I can't choose just one, we had such a big year. I was a caregiver for my husband for an entire year as he recovered from a fall. It forced us to take a close look at our relationship and our interactions. Happy to announce we came out the other end stronger than before. We joined a great organization where the two of us can team up and use our skills for a great community cause. I put together a couple burlesque acts that were received with over the top enthusiasm from the audiences. I lost 25 pounds! We had two daughters graduate and move onto college. One played for a top ranked womens rubgy team, the other pledged a sorority where she is happy. Both passed all their classes this semester ? 2021 was not easy. But looking back, it was fulfilling. Thanks for this question."
152,What 2021 accomplishment are you most proud of?,2021-12-27,Producing and planning an entire weekend of events for queer men of color! 
51,What 2021 accomplishment are you most proud of?,2021-12-27,"Becoming a father to a happy, healthy, beautiful boy. Theres a few things Im pretty proud of myself for this year but they are pretty insignificant compared to fatherhood. "
11,What 2021 accomplishment are you most proud of?,2021-12-27,"This has been a major rebuilding year for me. Ive learned to become more vulnerable, which Im proud of. Now, on to big things in 2022! ? "
134,What 2021 accomplishment are you most proud of?,2021-12-27,4 days and 33 miles solo on the Appalachian trail! Or climbing Mount Washington!! ?? Or paying off all our debt and fully funding our emergency fund! ? I guess Ive accomplished more than I thought
140,What 2021 accomplishment are you most proud of?,2021-12-27,Making a career shift and getting my new job which I love!
156,What 2021 accomplishment are you most proud of?,2021-12-27,Prioritizing family
114,What 2021 accomplishment are you most proud of?,2021-12-27,Starting off my new professional project :) hopefully it will be a proud 2022 moment too
4,What 2021 accomplishment are you most proud of?,2021-12-27,1) I hit my 100th day streak today on OQ 2) Being able to finally bring the OneQuesh concept to life on iOS and Android ? ?????????????
15,What 2021 accomplishment are you most proud of?,2021-12-27,Im proud of my eldest brother becoming a father and how he is with her
31,What 2021 accomplishment are you most proud of?,2021-12-27,"I took a major leap in 2021 and changed career pathways completely. I bought a small business in a coastal town and while I technically wont begin ownership until January 2022. The courage to go for it, apply for loans, and guzzle information from a firehose to try to learn something new after 20+ years in Higher Education Administration, was all 2021. I feel proud, along with many other emotions that go along with risk, but you only have this one life so"
113,What 2021 accomplishment are you most proud of?,2021-12-27,Being 3rd place in the competition!
77,"If you could ask 2022 one question, what would you ask?",2021-12-26,How is 2022 looking as for me starting new career 
154,"If you could ask 2022 one question, what would you ask?",2021-12-26,Should I move to Canada? 
6,"If you could ask 2022 one question, what would you ask?",2021-12-26,Will I find love? 
157,"If you could ask 2022 one question, what would you ask?",2021-12-26,Will I meet the one this year? 
75,"If you could ask 2022 one question, what would you ask?",2021-12-26,My husband says: What cryptocurrency is going to explode.
51,"If you could ask 2022 one question, what would you ask?",2021-12-26,Kinda stumped on this one Will we see distribution & supply chains start to normalize at some point? Knowing that would probably impact business & personal decisions Id make. 
9,"If you could ask 2022 one question, what would you ask?",2021-12-26,List of all the NYSE winners 
4,"If you could ask 2022 one question, what would you ask?",2021-12-26,What should I prepare for?
160,"If you could ask 2022 one question, what would you ask?",2021-12-26,Will it get better?
130,"If you could ask 2022 one question, what would you ask?",2021-12-26,Will it be a better year for everyone ???
134,"If you could ask 2022 one question, what would you ask?",2021-12-26,"Will you be kind, please?!?"
56,"If you could ask 2022 one question, what would you ask?",2021-12-26,What will be my new address by end of year? -moving in this market is wild and so uncertain-
31,"If you could ask 2022 one question, what would you ask?",2021-12-26,Would you please throw me a bone?
5,"If you could ask 2022 one question, what would you ask?",2021-12-26,Are you going to be just as AWFUL as 2020 & 2021? 
1,"If you could ask 2022 one question, what would you ask?",2021-12-26,Will you be better? ?
156,"If you could ask 2022 one question, what would you ask?",2021-12-26,What can I do to make sure it is a great year for my family? 
140,"If you could ask 2022 one question, what would you ask?",2021-12-26,Will things get back to normal this year?
114,"If you could ask 2022 one question, what would you ask?",2021-12-26,I could ask it how 2022 will be but I prefer to be surprised 
15,"If you could ask 2022 one question, what would you ask?",2021-12-26,"Does everything pay off? With covid, with my job"
11,"If you could ask 2022 one question, what would you ask?",2021-12-26,Will you please just be chill? 
85,What matters most?,2021-12-25,Happiness
77,What matters most?,2021-12-25,Family and your self esteem
130,What matters most?,2021-12-25,Having an inner peace 
5,What matters most?,2021-12-25,God 1st ? my immediate family?? My health
114,What matters most?,2021-12-25,What matters most is to be at peace with yourself so you can be of help for others around you 
6,What matters most?,2021-12-25,Being able to give to the less fortunate and spending time with loved ones??MERRY CHRISTMAS EVERYONE
149,What matters most?,2021-12-25,Respect ???
154,What matters most?,2021-12-25,This present moment 
88,What matters most?,2021-12-25,Health and good people ?
11,What matters most?,2021-12-25,"Equality, peace, love and happiness. "
1,What matters most?,2021-12-25,Peace in my 
51,What matters most?,2021-12-25,The love you share with the people who matter most to you. Thats family. Merry Christmas ? 
56,What matters most?,2021-12-25,T I M E with family and loved ones 
156,What matters most?,2021-12-25,"Family, friendship, love, trust, honesty, respect, kindness and humility. "
134,What matters most?,2021-12-25,Time with family 
81,What matters most?,2021-12-25,Definitely family 
9,What matters most?,2021-12-25,Good health
15,What matters most?,2021-12-25,My family and guy. The genuine connection with all of them
4,What matters most?,2021-12-25,"Loved ones, health and happiness ?? #merrychristmas"
6,Sugar Cookies or Chocolate Chip?,2021-12-24,????????????
92,Sugar Cookies or Chocolate Chip?,2021-12-24,Respectfully I am offended this is even a question ?. Chocolate chip 
29,Sugar Cookies or Chocolate Chip?,2021-12-24,Chocolate chip!
149,Sugar Cookies or Chocolate Chip?,2021-12-24,Its soooo about the mood! Sometimes a sugar cookie hit the spot but I routinely gravitate towards a CCC 
77,Sugar Cookies or Chocolate Chip?,2021-12-24,Chocolate chip all the way
14,Sugar Cookies or Chocolate Chip?,2021-12-24,I could go either way. Its a decision that can only be made once you know where or who they came from 
48,Sugar Cookies or Chocolate Chip?,2021-12-24,"Hard question- I probably prefer sugar cookies around the holidays, but chocolate chip throughout the year ?"
157,Sugar Cookies or Chocolate Chip?,2021-12-24,"Sugar at Christmas, chocolate chip the rest of the year?"
56,Sugar Cookies or Chocolate Chip?,2021-12-24,Chocolate chip
51,Sugar Cookies or Chocolate Chip?,2021-12-24,"Chocolate Chip ? I love sugar cookies.. taste great, design options, colors, shapes, the whole bit. But I can eat maybe 1.5 at a time. Cookie chip cookies? I can easily eat 4, 5, 6 especially if they are soft"
159,Sugar Cookies or Chocolate Chip?,2021-12-24,Sugar all the way - you can decorate them! 
15,Sugar Cookies or Chocolate Chip?,2021-12-24,Chocolate chip every time! 
114,Sugar Cookies or Chocolate Chip?,2021-12-24,Chocolate chip cookies all the way!!! But I wont discriminate if theres only sugar ones ? ???
156,Sugar Cookies or Chocolate Chip?,2021-12-24,Sugar cookies
75,Sugar Cookies or Chocolate Chip?,2021-12-24,Chocolate chip!
154,Sugar Cookies or Chocolate Chip?,2021-12-24,Ginger snap! ?
152,Sugar Cookies or Chocolate Chip?,2021-12-24,SUGAR COOKIES ALL THE WAY!! 
118,Sugar Cookies or Chocolate Chip?,2021-12-24,Sugar. Hands down
130,Sugar Cookies or Chocolate Chip?,2021-12-24,Sugar Cookies
5,Sugar Cookies or Chocolate Chip?,2021-12-24,Sugar Cookies!
134,Sugar Cookies or Chocolate Chip?,2021-12-24,Chocolate chip 
9,Sugar Cookies or Chocolate Chip?,2021-12-24,Chocolate Chip 
11,Sugar Cookies or Chocolate Chip?,2021-12-24,Oatmeal Raisin! ? 
4,Sugar Cookies or Chocolate Chip?,2021-12-24,Chocolate chip. Classic. ?
123,What is something on your bucket list?,2021-12-23,Go to the bar to drink tequila 
9,What is something on your bucket list?,2021-12-23,Retire in the Caribbean with my own B&B
48,What is something on your bucket list?,2021-12-23,Thailand
5,What is something on your bucket list?,2021-12-23,Travel through Europe! ????
156,What is something on your bucket list?,2021-12-23,Learn to speak Spanish 
